Data;Załadunek;Importer;Towar;Waga;Cena;Transport;Plac;Wartość;Faktura;Firma;Kierunek;Kod odpadu;Reklamacja;LS;Skąd;;
2026-01-19;2026-01-16;TM Recycling;folia 80/20;0,890;294,00;147,00;128,83;261,66;21/01/2026;Ewrant;Hohenwestedt;150102;;212458;EWRANT;;
2026-01-19;2026-01-16;TM Recycling;folia 50/50;10,860;168,00;1 792,00;2,99;1 824,48;21/01/2026;Ewrant;Hohenwestedt;150102;;212458;EWRANT;;
2026-01-19;2026-01-16;TM Recycling;HDPE pojemniki;0,640;420,00;106,00;254,38;268,80;21/01/2026;Ewrant;Hohenwestedt;150102;;212458;EWRANT;;
2026-01-19;2026-01-16;TM Recycling;paski PP;0,370;168,00;61,00;3,14;62,16;21/01/2026;Ewrant;Hohenwestedt;150102;;212458;EWRANT;;
2026-01-19;2026-01-16;TM Recycling;PE Kisten;1,100;420,00;181,00;255,45;462,00;21/01/2026;Ewrant;Hohenwestedt;150102;;212458;EWRANT;;
2026-01-19;2026-01-16;TM Recycling;Owijka kolor;1,000;504,00;165,00;339,00;504,00;21/01/2026;Ewrant;Hohenwestedt;150102;;212458;EWRANT;;
2026-01-20;;Recyclog/Recykler;1.04;19,260;462,00;1 250,00;397,10;8 898,12;3/01/2026, 22/01/2026;Midass;Schwedt;150101;;600277379;EWRANT;;
2026-01-20;;Melosch;2.06 BELKA;22,640;145,00;0,00;145,00;3 282,80;5/01/2026;Antra;Lilla Edet;030308;;BV26003426;EWRANT;;
2026-01-21;;Recyclog/Recykler;1.11;19,280;819,00;1 250,00;754,17;15 790,32;3/01/2026, 22/01/2026;Midass;Schwedt;150101;;600276771;EWRANT;;
2026-01-21;;Melosch/Recykler;1.04;22,060;441,00;1 250,00;384,34;9 728,46;4/01/2026, ;Midass;Schwedt;150101;;BV26004054;EWRANT;;
2026-01-22;;Recyclog;3.18;20,980;1 827,00;2 200,00;1 722,14;38 330,46;6/01/2026;Antra;SPREMBERG;030308;;2026010823;Antra (niszczarnia);;
2026-01-22;;Recyclog/Recykler;1.04;16,200;462,00;1 250,00;384,84;7 484,40;3/01/2026, 22/01/2026;Midass;Schwedt;150101;;600277384;EWRANT;;
2026-01-22;;Recyclog/Recykler;1.04;19,248;462,00;1 250,00;397,06;8 892,58;3/01/2026, 22/01/2026;Midass;Schwedt;150101;20,240;600277394;EWRANT;;
2026-01-23;;Recyclog/Recykler;1.04;16,940;462,00;1 250,00;388,21;7 826,28;3/01/2026, 22/01/2026;Midass;Schwedt;150101;;600277387;EWRANT;;
2026-01-23;;Melosch/Recykler;1.04;15,660;441,00;1 250,00;361,18;6 906,06;4/01/2026, ;Midass;Schwedt;150101;;BV26004055;EWRANT;;
2026-01-26;;Recyclog/Recykler;1.04;18,145;462,00;1 250,00;393,11;8 382,99;5/01/2026, 38/01/2026;Midass;Schwedt;150101;19,040;600278483;EWRANT;;
2026-01-27;;Melosch/Recykler;1.04;21,211;441,00;1 250,00;382,07;9 354,05;4/01/2026, 38/01/2026;Midass;Schwedt;150101;0,177;BV26004056;EWRANT;;
2026-01-27;;Recyclog;Bibuła;21,420;1 071,00;2 604,00;949,43;22 940,82;47/01/2026;Ewrant;GREIZ;150101;;2026010795;EWRANT;;
2026-01-27;;Recyclog/Recykler;1.11;14,260;819,00;1 250,00;731,34;11 678,94;5/01/2026, 38/01/2026;Midass;Schwedt;150101;;600278760;EWRANT;;
2026-01-27;;TM Recycling;folia 98/02;0,590;874,00;84,00;731,63;515,66;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;folia 95/5;0,930;622,00;133,00;478,99;578,46;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;folia 80/20;0,930;265,00;133,00;121,99;246,45;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;folia 50/50;8,530;139,00;1 220,00;-4,02;1 185,67;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;big bag biały;0,240;264,00;34,00;122,33;63,36;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;big bag;1,690;76,00;242,00;-67,20;128,44;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;big kolor;0,690;4,20;99,00;-139,28;2,90;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;HDPE pojemniki;0,550;307,00;79,00;163,36;168,85;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;HDPE pojemniki;0,160;391,00;23,00;247,25;62,56;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;paski PP;1,310;139,00;187,00;-3,75;182,09;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;PET mix;0,200;391,00;29,00;246,00;78,20;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;Mix;0,140;4,20;20,00;-138,66;0,59;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;PET/PP;0,500;4,20;71,00;-137,80;2,10;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;TM Recycling;Mix;2,030;4,20;290,00;-138,66;8,53;56/01/2026;Ewrant;Hohenwestedt;150102;;213365;EWRANT;;
2026-01-27;;Recyclog;PAPIER SILIKONOWY;15,440;21,00;0,00;21,00;324,24;47/01/2026;Ewrant;KROSTITZ;150101;;2026011812;EWRANT;;
2026-01-28;;Recyclog/Recykler;1.04;18,755;462,00;1 250,00;395,35;8 664,81;5/01/2026, 38/01/2026;Midass;Schwedt;150101;21,120;600278493;EWRANT;;
2026-01-28;;EkoRecykling/Recykler;1.04;21,587;360,00;-50,00;362,32;7 771,32;49/01/2026, 38/01/2026;Ewrant;Schwedt;150101;22,440;600278887;EWRANT;;
2026-01-29;;Recyclog/Recykler;1.04;22,562;462,00;1 250,00;406,60;10 423,64;5/01/2026, 38/01/2026;Midass;Schwedt;150101;23,700;600278497;EWRANT;;
2026-01-29;;EkoRecykling/Recykler;1.04;22,413;360,00;-50,00;362,23;8 068,68; 49/01/2026, 38/01/2026;Ewrant;Schwedt;150101;23,420;600278793;EWRANT;;
2026-01-30;;Recyclog/Recykler;1.04;17,620;462,00;1 250,00;391,06;8 140,44;5/01/2026, 38/01/2026;Midass;Schwedt;150101;;600278502;EWRANT;;
2026-01-30;;Recyclog/Recykler;1.11;14,280;819,00;1 250,00;731,46;11 695,32;5/01/2026, 38/01/2026;Midass;Schwedt;150101;;600278462;EWRANT;;
2026-02-02;;Recyclog/Recykler;1.04;22,500;110,00;;110,00;2 475,00;1/02/2026,  ;Midass;LEIPA;150101;;600279685;EWRANT;;
2026-02-03;;Melosch/Recykler;1.04;17,980;105,00;;105,00;1 887,90;2/02/2026, ;Midass;LEIPA;150101;;BV26008022;EWRANT;;
2026-02-04;;RLG;1.04;18,280;410,00;;410,00;7 494,80;10/20/2026;Ewrant;EISEN;150101;;A200-148212;EWRANT;;
2026-02-04;;EkoRecykling/Recykler;1.04;17,220;370,00;;370,00;6 371,40;5/02/2026;Ewrant;LEIPA;150101;;600279864;EWRANT;;
2026-02-05;;EkoRecykling/Recykler;1.04;19,260;370,00;;370,00;7 126,20;5/02/2026;Ewrant;LEIPA;150101;;600279945;EWRANT;;
2026-02-05;;Recyclog/Recykler;1.04;20,412;110,00;;110,00;2 245,32;1/02/2026,  ;Midass;LEIPA;150101;21,000;600279694;EWRANT;;
2026-02-09;;Recyclog/Recykler;1.04;19,040;110,00;;110,00;2 094,40;3/02/2026, 15/02/2026;Midass;Schwedt;150101;;600280988;EWRANT;;
2026-02-09;;Melosch;2.06 BELKA;20,660;145,00;;145,00;2 995,70;11/02/2026;Antra;Lilla Edet;030308;;BV26009245;EWRANT;;
2026-02-10;;Recyclog/Recykler;1.04;22,971;110,00;;110,00;2 526,81;3/02/2026, 15/02/2026;Midass;Schwedt;150101;23,440;600280980;EWRANT;;
2026-02-10;;Melosch/Recykler;1.04;24,060;105,00;;105,00;2 526,30;4/02/2026;Midass;Schwedt;150101;;BV26008023;EWRANT;;
2026-02-10;;Recyclog;bibuła biała;19,640;210,00;;210,00;4 124,40;4/02/2026;Antra;GREIZ;191201;19,500;2026020900;EWRANT;;
2026-02-12;;Recyclog/Recykler;1.04;23,105;110,00;;110,00;2 541,55;3/02/2026, 15/02/2026;Midass;Schwedt;150101;23,820;600280998;EWRANT;;
2026-02-11;;EkoRecykling/Recykler;1.04;20,520;370,00;;370,00;7 592,40;21/02/2026, ;Midass;Schwedt;150101;20,960;600280898;EWRANT;;
2026-02-11;;RLG;1.04;18,779;410,00;;410,00;7 699,39;24/02/2026;Ewrant;EISEN;150101;19,360;A200-148216;EWRANT;;
2026-02-11;;Recyclog;bibuła biała;10,560;165,00;;165,00;1 742,40;4/02/2026;Antra;GREIZ;191201;10,520;2026020975;EWRANT;;
2026-02-11;;Recyclog;bibuła kolor;19,900;100,00;;100,00;1 990,00;15/02/2026;Antra;GREIZ;191201;19,900;2026020976;EWRANT;;
2026-02-12;;Recyclog/Recykler;1.11;18,340;819,00;1 250,00;750,84;15 020,46;3/02/2026, 15/02/2026;Midass;Schwedt;150101;;600279639;EWRANT;;
2026-02-12;;TM Recykling;big bag biały;10,320;147,00;2 110,50;-57,51;1 517,04;27/02/2026;Ewrant;Hohenwestedt;150102;;214464;EWRANT;;
2026-02-12;;TM Recykling;HDPE pojemniki;7,500;210,00;1 534,50;5,40;1 575,00;27/02/2026;Ewrant;Hohenwestedt;150102;;214464;EWRANT;;
2026-02-13;;Recyclog/Recykler;1.04;13,200;110,00;;110,00;1 452,00;3/02/2026, 15/02/2026;Midass;Schwedt;150101;15,980;600281002;EWRANT;;
2026-02-17;;Recyclog/Recykler;1.04;20,229;110,00;;110,00;2 225,19;5/02/2026, ;Midass;Schwedt;150101;21,520;600281703;EWRANT;;
2026-02-17;;Melosch/Recykler;1.04;22,720;105,00;;105,00;2 385,60;6/02/2026,;Midass;Schwedt;150101;;BV26008024;EWRANT;;
2026-02-18;;Recyclog/Recykler;1.04;22,543;110,00;;110,00;2 479,73;5/02/2026, ;Midass;Schwedt;150101;23,240;600281709;EWRANT;;
2026-02-18;;EkoRecykling/Recykler;1.04;21,105;370,00;;370,00;7 808,85;39/02/2026;Ewrant;Schwedt;150101;21,780;600282032;EWRANT;;
2026-02-19;;Recyclog;1.04;;;;;0,00;;;Schwedt;;;600281714;;;
2026-02-19;;EkoRecykling/Recykler;1.04;16,900;370,00;;370,00;6 253,00;39/02/2026;Ewrant;Schwedt;150101;;600282034;EWRANT;;
2026-02-20;;RLG;1.04;16,260;410,00;;410,00;6 666,60;47/02/2026;Ewrant;EISEN;150101;;A200-148222;EWRANT;;
2026-02-23;;Recyclog/Recykler;1.04;17,839;110,00;;110,00;1 962,29;7/02/2026, ;Midass;Schwedt;150101;18,680;600282802;EWRANT;;
2026-02-23;;Melosch;2.06 BELKA;18,900;135,00;;135,00;2 551,50;14/02/2026;Antra;Lilla Edet;030308;;BV26003427;EWRANT;;
2026-02-24;;Melosch/Recykler;1.04;16,864;105,00;;105,00;1 770,72;8/02/2026, ;Midass;Schwedt;150101;19,340;BV26008025;EWRANT;;
2026-02-24;;RLG;1.04;11,360;410,00;;410,00;4 657,60;53/02/2026;Ewrant;EISEN;150101;;A200-148224;EWRANT;;
2026-02-25;;EkoRecykling/Recykler;1.04;15,902;370,00;;370,00;5 883,74;62/02/2026;Ewrant;Schwedt;150101;18,320;600282382;EWRANT;;
2026-02-25;;EkoRecykling/Recykler;1.04;14,446;370,00;;370,00;5 345,02;62/02/2026;Ewrant;Schwedt;150101;16,720;600283082;EWRANT;;
2026-02-25;;Recyclog/Recykler;1.04;16,890;110,00;;110,00;1 857,90;7/02/2026, ;Midass;Schwedt;150101;19,020;600282812;EWRANT;;
2026-02-26;;Recyclog/Recykler;1.11;19,340;195,00;;195,00;3 771,30;7/02/2026, ;Midass;Schwedt;150101;;600283211;EWRANT;;
2026-02-26;;Recyclog/Recykler;1.04;17,558;110,00;;110,00;1 931,38;7/02/2026, ;Midass;Schwedt;150101;18,580;600282807;EWRANT;;
2026-02-26;;Recyclog/Recykler;1.04;15,484;110,00;;110,00;1 703,24;7/02/2026, ;Midass;Schwedt;150101;17,300;600282818;EWRANT;;
2026-02-26;;TM Recykling;folia kolor;0,120;1,00;;1,00;0,12;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;Versandtaschen;0,980;1,00;;1,00;0,98;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;folia 98/02;3,760;160,00;;160,00;601,60;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;folia 95/5;0,750;110,00;;110,00;82,50;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;folia 50/50;1,380;1,00;;1,00;1,38;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;big bag biały;0,380;80,00;;80,00;30,40;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;big bag biały;1,680;35,00;;35,00;58,80;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;big bag;0,560;1,00;;1,00;0,56;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;big bag;1,830;1,00;;1,00;1,83;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;HDPE kosze/śmietnik;0,150;30,00;;30,00;4,50;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;Schlauche;0,360;1,00;;1,00;0,36;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;PET mix;0,190;30,00;;30,00;5,70;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;Composite;0,190;1,00;;1,00;0,19;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;Paloxen;0,260;1,00;;1,00;0,26;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-26;;TM Recykling;Paloxen;0,260;1,00;;1,00;0,26;66/02/2026;Ewrant;Hohenwestedt;150102;;216091;EWRANT;;
2026-02-07;;Recyclog/Recykler;1.04;22,887;110,00;;110,00;2 517,57;7/02/2026, ;Midass;Schwedt;150101;24,260;600281707;EWRANT;;
2026-03-03;;EKO 24(pośrednictwo);HDPE brudne;7,350;;;;0,00;;;;150110;;BDO Green Energy;;Tranzyt;
2026-03-03;;Melosch/Recykler;1.04;18,700;441,00;1 250,00;374,16;8 246,70;2/03/2026, ;Midass;Schwedt;150101;;BV26012567;EWRANT;;
2026-03-03;;Recyclog/Recykler;1.04;18,520;462,00;1 250,00;394,51;8 556,24;1/03/2026, ;Midass;Schwedt;150101;;600283819;EWRANT;;
2026-03-04;;EkoRecykling/Recykler;1.04;19,960;365,00;0,00;365,00;7 285,40;17/03/2026;Midass;Schwedt;150101;;600284048;EWRANT;;
2026-03-04;;Recyclog/Recykler;1.04;18,440;462,00;1 250,00;394,21;8 519,28;1/03/2026, ;Midass;Schwedt;150101;;600283820;EWRANT;;
2026-03-04;;EKO 24 (Wiewiórka);folia 98/02;11,500;1 500,00;0,00;1 500,00;17 250,00;;;;150102;;BEZ BDO;EWRANT;;
2026-03-05;;Recyclog/Recykler;1.04;;;;;0,00;;;Schwedt;;;600283821;EWRANT;;
2026-03-06;;EkoRecykling/Recykler;1.04;21,600;370,00;0,00;370,00;7 992,00;32/03/2026;Midass;Schwedt;150101;;600284010;EWRANT;;
2026-03-06;;Recyclog/Recykler;1.04;23,740;462,00;1 250,00;409,35;10 967,88;1/03/2026, ;Midass;Schwedt;150101;;600283822;EWRANT;;
2026-03-10;2026-03-09;TM Recycling;MixedFilm;2,390;4,20;402,00;-164,00;10,04;35/03/2026;Ewrant;Hohenwestedt;150102;;217332;EWRANT;;
2026-03-10;2026-03-09;TM Recycling;folia 95/5;0,630;672,00;106,00;503,75;423,36;35/03/2026;Ewrant;Hohenwestedt;150102;;217332;EWRANT;;
2026-03-10;2026-03-09;TM Recycling;folia 80/20;0,940;273,00;158,00;104,91;256,62;35/03/2026;Ewrant;Hohenwestedt;150102;;217332;EWRANT;;
2026-03-10;2026-03-09;TM Recycling;folia 50/50;7,640;189,00;1 284,00;20,94;1 443,96;35/03/2026;Ewrant;Hohenwestedt;150102;;217332;EWRANT;;
2026-03-10;2026-03-09;TM Recycling;big bag biały;0,830;130,00;139,00;-37,47;107,90;35/03/2026;Ewrant;Hohenwestedt;150102;;217332;EWRANT;;
2026-03-10;2026-03-09;TM Recycling;big bag;0,170;4,20;29,00;-166,39;0,71;35/03/2026;Ewrant;Hohenwestedt;150102;;217332;EWRANT;;
2026-03-10;2026-03-09;TM Recycling;PET mix;0,340;252,00;57,00;84,35;85,68;35/03/2026;Ewrant;Hohenwestedt;150102;;217332;EWRANT;;
2026-03-10;2026-03-09;TM Recycling;folia LDPE;3,820;2 310,00;642,00;2 141,94;8 824,20;35/03/2026;Ewrant;Hohenwestedt;150102;;217332;EWRANT;;
2026-03-10;;Melosch/Recykler;1.04;21,620;441,00;1 250,00;383,18;9 534,42;3/03/2026, ;Midass;Schwedt;150101;;BV26012568;EWRANT;;
2026-03-10;;EkoRecykling/Recykler;1.04;18,018;365,00;0,00;365,00;6 576,57;32/03/2026;Ewrant;Schwedt;150101;18,480;600284916;EWRANT;;
2026-03-10;;Recyclog/Recykler;1.04;22,660;462,00;1 250,00;406,84;10 468,92;4/03/2026, ;Midass;Schwedt;150101;;600284677;EWRANT;;
2026-03-10;;Recyclog;1.04;24,980;452,00;2 310,00;359,53;11 290,96;26/03/2026;Ewrant;TREBSEN;150101;;2026030968;EWRANT;;
2026-03-11;;Recyclog/Recykler;1.04;23,660;462,00;1 250,00;409,17;10 930,92;4/03/2026, ;Midass;Schwedt;150101;;600284681;EWRANT;;
2026-03-11;;Recyclog/Recykler;1.11;8,520;819,00;1 250,00;672,29;6 977,88;4/03/2026, ;Midass;Schwedt;150101;;600284635;EWRANT;;
2026-03-11;;Recyclog;3.05;18,830;1 113,00;0,00;1 113,00;20 957,79; 6/03/2026;Antra;Glückstadt;030308;;184728;EWRANT;;
2026-03-11;;EkoTrade/Recykler;1.04;21,820;370,00;0,00;370,00;8 073,40; 33/03/2026;Ewrant;Schwedt;150101;;600285054;EWRANT;;
2026-03-13;;RLG;1.04;19,860;410,00;1 600,00;329,44;8 142,60; 42/03/2026;Ewrant;EISEN;150101;;A200-149083;EWRANT;;
2026-03-16;;Recyclog/Recykler;1.04;25,800;462,00;1 250,00;413,55;11 919,60;38/03/2026, 5/03/2026;Midass;Schwedt;150101;;600285753;EWRANT;;
2026-03-16;;Recyclog;3.18;15,620;1 806,00;2 100,00;1 671,56;28 209,72;5/03/2026;Antra;SPREMBERG;030308;;2026030924;EWRANT;;
2026-03-17;;Melosch/Recykler;1.04;23,960;441,00;1 250,00;388,83;10 566,36;38/03/2026, 6/03/2026;Midass;Schwedt;150101;;BV26012569;EWRANT;;
2026-03-17;;EkoTrade/Recykler;1.04;24,140;370,00;0,00;370,00;8 931,80;47/03/2026, 38/03/2026 ;Ewrant;Schwedt;150101;;600285327;EWRANT;;
2026-03-17;;RLG;1.04;20,560;410,00;1 600,00;332,18;8 429,60;45/03/2026;Ewrant;EISEN;150101;;A200-149082;EWRANT;;
2026-03-17;;Eko 24 (pośrednictwo);HDPE brudne;0,820;;;;0,00;;;;150110;;BDO Voigt;;Tranzyt;
2026-03-18;;Recyclog/Recykler;1.04;20,564;462,00;1 250,00;401,21;9 500,57;38/03/2026, 5/03/2026;Midass;Schwedt;150101;21,200;600285760;EWRANT;;
2026-03-18;;EkoTrade/Recykler;1.04;21,900;370,00;0,00;370,00;8 103,00;47/03/2026, 38/03/2026 ;Ewrant;Schwedt;150101;;600285330;EWRANT;;
2026-03-19;;Recyclog/Recykler;1.11;15,640;819,00;1 250,00;739,08;12 809,16;38/03/2026, 5/03/2026;Midass;Schwedt;150101;;600286015;EWRANT;;
2026-03-18;;Recyclog;Gilza;19,860;294,00;2 310,00;177,69;5 838,84;46/03/2026;Ewrant;TREBSEN;150101;20,520;48286;EWRANT;;
2026-03-20;;Recyclog/Recykler;1.04;22,881;462,00;1 250,00;407,37;10 571,02;38/03/2026, 5/03/2026;Midass;Schwedt;150101;23,540;600285767;EWRANT;;
2026-03-20;;Recyclog;1.04;21,094;452,00;1 600,00;376,15;9 534,49;40/03/2026;Ewrant;EISEN;150101;22,440;1204005;EWRANT;;
2026-03-20;;Recyclog/Recykler;1.04;26,700;462,00;1 250,00;415,18;12 335,40;38/03/2026, 5/03/2026;Midass;Schwedt;150101;;600285774;EWRANT;;
2026-03-20;;EKO 24 (pośrednictwo);szmaty;5,200;;;;0,00;;;;150203;;BDO Recykler;;Tranzyt;
2026-03-23;;Recyclog;1.04;23,440;452,00;2 310,00;353,45;10 594,88;54/03/2026, ;Ewrant;TREBSEN;150101;;2026030969;EWRANT;;
2026-03-23;;Recyclog/Recykler;1.04;24,960;462,00;1 250,00;411,92;11 531,52;8/03/2026, ;Midass;Schwedt;150101;;600286778;EWRANT;;
2026-03-24;;Recyclog/Recykler;1.04;22,100;462,00;1 250,00;405,44;10 210,20;8/03/2026, ;Midass;Schwedt;150101;;600286779;EWRANT;;
2026-03-24;;Melosch/Recykler;1.04;22,280;441,00;1 250,00;384,90;9 825,48;7/03/2026, ;Midass;Schwedt;150101;;BV26012570;EWRANT;;
2026-03-25;;Recyclog/Recykler;1.04;15,660;462,00;1 250,00;382,18;7 234,92;8/03/2026, ;Midass;Schwedt;150101;;600286784;EWRANT;;
2026-03-25;;Recyclog/Recykler;1.04;14,720;462,00;1 250,00;377,08;6 800,64;8/03/2026, ;Midass;Schwedt;150101;;600286789;EWRANT;;
2026-03-27;;Recyclog/Recykler;1.04;19,420;462,00;1 250,00;397,63;8 972,04;8/03/2026, ;Midass;Schwedt;150101;;600286794;EWRANT;;
2026-03-26;;EkoTrade/Recykler;1.04;21,020;370,00;0,00;370,00;7 777,40;86/03/2026;Ewrant;Schwedt;150101;;600287136;EWRANT;;
2026-03-27;;EkoTrade/Recykler;1.04;14,780;350,00;0,00;350,00;5 173,00;84/03/2026;Ewrant;Schwedt;150101;;600287256;EWRANT;;
2026-03-26;;Recyclog/Recykler;1.11;16,200;819,00;1 250,00;741,84;13 267,80;8/03/2026, ;Midass;Schwedt;150101;;600287424;EWRANT;;
2026-03-26;2026-03-25;TM Recycling;folia 95/5;1,660;735,00;216,00;604,88;1 220,10;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
2026-03-26;2026-03-25;TM Recycling;folia 90/10;0,380;567,00;49,00;438,05;215,46;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
2026-03-26;2026-03-25;TM Recycling;folia 80/20;0,260;231,00;34,00;100,23;60,06;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
2026-03-26;2026-03-25;TM Recycling;folia LDPE;8,350;-252,00;1 085,00;-381,94;-2 104,20;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
2026-03-26;2026-03-25;TM Recycling;big bag biały;1,490;126,00;194,00;-4,20;187,74;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
2026-03-26;2026-03-25;TM Recycling;big bag;0,370;-105,00;48,00;-234,73;-38,85;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
2026-03-26;2026-03-25;TM Recycling;PET biały;0,330;231,00;43,00;100,70;76,23;85/03/2026;Ewrant;Hohenwestedt;150102;;219413;EWRANT;;
